3738;0;0
3840;60;0
3941;60;0
4042;60;0
4143;60;0
4244;60;0
4345;60;0
4446;60;40
4547;60;40
4648;60;60
4749;60;60
4850;60;60
4951;60;60
5052;60;65
5153;60;65
5254;60;65
5355;60;65
5456;60;65
5557;60;65
5658;60;65
5760;60;65
5861;60;60
5962;60;60
6063;60;60
6164;60;60
6265;60;55
6366;60;55
6467;60;60
6568;60;60
6669;60;60
6770;60;60
6871;60;60
6972;60;60
7073;60;60
7174;60;60
7275;60;55
7376;60;55
7477;60;60
7578;60;60
7680;0;60
7781;0;60
7882;0;60
7983;0;60
8084;0;40
8185;0;40
8286;0;30
8387;0;30
8488;0;10
8589;0;10
8690;0;5
8791;0;5
8892;0;0
8993;0;0
9094;0;0
9195;0;0
