101.00;78.95
202.00;81.08
303.00;65.22
404.00;71.43
505.00;66.67
606.00;69.77
707.00;69.77
808.00;75.00
909.00;78.95
1010.00;73.17
1111.00;76.92
1212.00;68.18
1313.00;76.92
1414.00;76.92
1515.00;78.95
1616.00;81.08
1717.00;78.95
1818.00;75.00
1920.00;85.71
2021.00;85.71
2122.00;83.33
2223.00;85.71
2324.00;85.71
2425.00;83.33
2526.00;96.77
2627.00;88.24
2728.00;83.33
2829.00;90.91
2930.00;88.24
3031.00;88.24
3132.00;81.08
3233.00;90.91
3334.00;88.24
3435.00;88.24
3536.00;93.75
3637.00;88.24
3738.00;96.77
3840.00;96.77
3941.00;90.91
4042.00;93.75
4143.00;93.75
4244.00;100.00
4345.00;100.00
4446.00;107.14
4547.00;100.00
4648.00;93.75
4749.00;96.77
4850.00;96.77
4951.00;100.00
5052.00;96.77
5153.00;100.00
5254.00;100.00
5355.00;103.45
5456.00;96.77
5557.00;107.14
5658.00;96.77
5760.00;107.14
5861.00;103.45
5962.00;100.00
6063.00;103.45
6164.00;103.45
6265.00;96.77
6366.00;115.38
6467.00;107.14
6568.00;103.45
6669.00;107.14
6770.00;103.45
6871.00;100.00
6972.00;107.14
7073.00;107.14
7174.00;107.14
7275.00;107.14
7376.00;96.77
7477.00;107.14
7578.00;103.45
7680.00;115.38
7781.00;107.14
7882.00;111.11
7983.00;115.38
8084.00;107.14
8185.00;103.45
8286.00;103.45
8387.00;107.14
8488.00;100.00
8589.00;111.11
8690.00;100.00
8791.00;111.11
8892.00;107.14
8993.00;115.38
9094.00;107.14
9195.00;107.14
9296.00;111.11
9397.00;111.11
9498.00;111.11
9600.00;125.00
9701.00;103.45
9802.00;107.14
9903.00;115.38
